example_id,customer_message,intent,expected_action,escalation_reason,agent_intent,agent_action,agent_response,human_relevance,human_correctness,human_grounding,human_policy,human_safety,human_tone,human_composite_score,human_passed,human_notes
SPOT-GOLD-010,"@SpotifyCares I can't listen to any Daft Punk song on either spotify web, android app or desktop, any solution?",music_catalog_and_content,INFO_PROVISION,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",3,3,3,4,5,5,3.7,False,"Intent mismatch (True: music_catalog_and_content, Pred: ambiguous_vague). Action mismatch (True: INFO_PROVISION, Pred: CLARIFICATION_PROMPT)."
SPOT-GOLD-016,@SpotifyCares just found out there's an Upside-Down version of my spotify... PLEASE NEVER GET RID OF IT MY INNER ST FANGIRL IS FREAKING OUT!,music_catalog_and_content,INFO_PROVISION,N/A,service_outage_and_status,INFO_PROVISION,"We had a little hiccup backstage, but everything should be running smoothly now! You can also check live updates on @SpotifyStatus. Let us know if you're still having trouble /AY",2,3,5,5,5,4,3.9,False,"Intent mismatch (True: music_catalog_and_content, Pred: service_outage_and_status)."
SPOT-GOLD-017,"@SpotifyCares I’ll DM you, I don’t want to offend people who love this wretched song 😒",music_catalog_and_content,INFO_PROVISION,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",3,3,3,4,5,5,3.7,False,"Intent mismatch (True: music_catalog_and_content, Pred: ambiguous_vague). Action mismatch (True: INFO_PROVISION, Pred: CLARIFICATION_PROMPT)."
SPOT-GOLD-019,@SpotifyCares How y’all gon let me pay 10 a month and delete my fav song https://t.co/R97xuY7Ekn,music_catalog_and_content,INFO_PROVISION,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",3,3,3,4,5,5,3.7,False,"Intent mismatch (True: music_catalog_and_content, Pred: ambiguous_vague). Action mismatch (True: INFO_PROVISION, Pred: CLARIFICATION_PROMPT)."
SPOT-GOLD-026,"@SpotifyCares It was on Chrome, but it seems to be working fine now. I think there might have been a server hiccup.",non_support_or_chatter,INFO_PROVISION,N/A,service_outage_and_status,INFO_PROVISION,"We had a little hiccup backstage, but everything should be running smoothly now! You can also check live updates on @SpotifyStatus. Let us know if you're still having trouble /AY",2,3,5,5,5,4,3.9,False,"Intent mismatch (True: non_support_or_chatter, Pred: service_outage_and_status)."
SPOT-GOLD-038,@SpotifyCares Sent you a DM! Thanks 😊,non_support_or_chatter,INFO_PROVISION,N/A,non_support_or_chatter,INFO_PROVISION,"You're very welcome! If there's anything else we can ever help with, just give us a shout. Have a wonderful day 🙂 /AY",5,5,3,5,5,4,4.6,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-074,@SpotifyCares Version 8.4.24.506. Logged out and restarted. Seems to be working now. Will keep you updated,non_support_or_chatter,INFO_PROVISION,N/A,account_access_and_login,INFO_PROVISION,Hi! We've replied to your DM. Let's continue chatting there /AY,2,3,3,5,5,5,3.7,False,"Intent mismatch (True: non_support_or_chatter, Pred: account_access_and_login)."
SPOT-GOLD-002,@SpotifyCares why does my Spotify stop playing while offline? It is songs I've downloaded and haven't had the issue until yesterday.,offline_listening_and_downloads,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,multi_intent,DIRECT_TROUBLESHOOT,"Hey! Are you getting any error messages whenever you try signing up using PayPal? If so, a screenshot of it will be very helpful /AY",2,2,3,1,5,5,2.7,False,"Intent mismatch (True: offline_listening_and_downloads, Pred: multi_intent). Action mismatch (True: ESCALATE_TO_HUMAN_DM, Pred: DIRECT_TROUBLESHOOT)."
SPOT-GOLD-011,@SpotifyCares why is this even a thing? Translated to english it means i got a download limit... Why? https://t.co/35ABzgy9ko,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,Hey! Check out the steps under 'Downloads unexpectedly removed' at https://support.spotify.com/article/listen-offline/. Remember that you need to go online at least once every 30 days to keep your downloads active /AY,5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-013,@SpotifyCares I pay a monthly fee for this but now can't download any other music to listen to on the go. I'm paying to not be able to do something. (3),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,Hey! Check out the steps under 'Downloads unexpectedly removed' at https://support.spotify.com/article/listen-offline/. Remember that you need to go online at least once every 30 days to keep your downloads active /AY,5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-018,@SpotifyCares every time I try to sync the songs I have on my laptop to Spotify I ALWAYS have a problem when they won’t sync and show up on my iPhone app!,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,"Hey! You can download up to 3,333 songs per device on a maximum of 3 devices. Try toggling Offline Mode on and off in Settings > Playback to see if that refreshes your sync /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-003,@SpotifyCares iOS 11.2 + there’s no specific messages or anything; the music just stops completely,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,playback_and_audio,DIRECT_TROUBLESHOOT,"Hey! Can you try logging out and back in? If that doesn't work, try restarting your device. Let us know how you get on /AY",5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-005,@SpotifyCares Yes I was I didn’t have a choice to skip it,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,playback_and_audio,DIRECT_TROUBLESHOOT,Hey! Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Also check if your Bluetooth device is within range. Keep us posted /AY,5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-006,"Wtf @115888, I'm walking listening with my headphones then the music stops and says I'm listening to music on Lucas's iPhone?",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,playback_and_audio,DIRECT_TROUBLESHOOT,Hey! Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Also check if your Bluetooth device is within range. Keep us posted /AY,5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-022,"@115888, long time premium customer here. Is multiroom coming soon for @115821 Echo/Alexa? Will be sad if I have to switch music providers",playback_and_audio,INFO_PROVISION,N/A,subscription_and_billing,INFO_PROVISION,"Hey there! We just sent you a reply to your DM, we'll continue assisting you there /AY",2,3,3,5,5,5,3.7,False,"Intent mismatch (True: playback_and_audio, Pred: subscription_and_billing)."
SPOT-GOLD-001,Hey @SpotifyCares will you create a personalized playlist for me? Pretty please,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,playlist_library_and_curation,DIRECT_TROUBLESHOOT,"Hey there, thanks for the feedback – we appreciate it! We'll let the right team know it's something you'd like to see /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-009,@SpotifyCares listen spotify ima need y’all to make a way i can edit and tap multiple songs at a time and add them to a playlist instead of having to add them individually plz help me,playlist_library_and_curation,INFO_PROVISION,N/A,playlist_library_and_curation,DIRECT_TROUBLESHOOT,Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /AY,5,3,3,4,5,5,4.1,True,"Action mismatch (True: INFO_PROVISION, Pred: DIRECT_TROUBLESHOOT)."
SPOT-GOLD-036,@115888 @118134 can we access other playlists besides the one we were given?,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,playlist_library_and_curation,DIRECT_TROUBLESHOOT,"Hey! If a playlist was accidentally removed, you can easily restore it by logging into your account page at https://spotify.com/account and selecting 'Recover playlists' /AY",5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-037,Why doesn't @115888 have a 'shuffle from here' option?,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,playlist_library_and_curation,DIRECT_TROUBLESHOOT,Hey! Try clearing your cache under Settings > Storage to refresh the shuffle algorithm. You can also turn shuffle off and back on to re-randomize your queue /AY,5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-012,"@SpotifyCares If this was a custom response with the ""backstage"" because I talked about showtunes, you really broke a leg here 👏🙌",service_outage_and_status,INFO_PROVISION,N/A,service_outage_and_status,INFO_PROVISION,"We had a little hiccup backstage, but everything should be running smoothly now! You can also check live updates on @SpotifyStatus. Let us know if you're still having trouble /AY",5,5,5,5,5,4,4.9,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-021,Why is my @115888 down? 🤷🏼‍♂️😩,service_outage_and_status,INFO_PROVISION,N/A,service_outage_and_status,INFO_PROVISION,"We had a little hiccup backstage, but everything should be running smoothly now! You can also check live updates on @SpotifyStatus. Let us know if you're still having trouble /AY",5,5,5,5,5,4,4.9,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-040,"@SpotifyCares Spotify was down last evening, don’t know how it is anymore as I slept through the night but I think it probably works by now😅",service_outage_and_status,INFO_PROVISION,N/A,service_outage_and_status,INFO_PROVISION,"We had a little hiccup backstage, but everything should be running smoothly now! You can also check live updates on @SpotifyStatus. Let us know if you're still having trouble /AY",5,5,5,5,5,4,4.9,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-007,@SpotifyCares  i recently got premium but then my plan ended a week after I had set my plan. Please contact me asap.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,subscription_and_billing,INFO_PROVISION,"Hey, the cavalry's here! Are you getting any error messages on the app right now? A screenshot of what's happening would come in handy /AY",5,2,3,1,5,5,3.3,False,"Action mismatch (True: ESCALATE_TO_HUMAN_DM, Pred: INFO_PROVISION)."
SPOT-GOLD-008,@SpotifyCares just signed up for premium family plan my daughter cannot accept invite. We are both being treated as the plan admin.,subscription_and_billing,INFO_PROVISION,N/A,subscription_and_billing,ESCALATE_TO_HUMAN_DM,Hey! We'd be happy to take a closer look at your billing and subscription details. Could you send us a DM with your account's email address or username? We'll check backstage https://t.co/ldFdZRiNAt /AY,5,3,5,2,5,5,4.0,True,"Action mismatch (True: INFO_PROVISION, Pred: ESCALATE_TO_HUMAN_DM)."
SPOT-GOLD-020,"@115888 Rp 4.990 using credit card? please i think most of spotify user are student and teenager. dear spotify id, please don't be like this",subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,subscription_and_billing,INFO_PROVISION,"Hi there! For student discount verification via SheerID, make sure your college enrollment information matches your school documents exactly. More info at: https://support.spotify.com/article/student-discount/ /AY",5,2,5,1,5,5,3.6,False,"Action mismatch (True: ESCALATE_TO_HUMAN_DM, Pred: INFO_PROVISION)."
SPOT-GOLD-029,"@SpotifyCares having technical issues. Won't let my daughter accept the premium for family invite. She gets an ""oops, something went wrong"". The fact that you do NOT offer telephone support is an absolute joke.",subscription_and_billing,INFO_PROVISION,N/A,subscription_and_billing,INFO_PROVISION,"Hi there! To accept a Family Plan invitation, the address entered must match the plan owner's address exactly. You can verify this in your account overview at https://spotify.com/account /AY",5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-024,@115888 @SpotifyCares @15993   what is wrong with your system? Why do I keep losing my saved/downloaded music???? Happened 2x in the last 2 weeks. -_-,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,Hey! Check out the steps under 'Downloads unexpectedly removed' at https://support.spotify.com/article/listen-offline/. Remember that you need to go online at least once every 30 days to keep your downloads active /AY,5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-027,@SpotifyCares Is the correct version of 'Guilty' (Track 7)  on this album? My CD copy has a version by Al Bowlly https://t.co/dxGqHqjdnx,music_catalog_and_content,INFO_PROVISION,N/A,music_catalog_and_content,INFO_PROVISION,Hey there! We hear you 🎧 We can’t make any promises but we’ll pass your feedback onto the right folks /AY,5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-028,"@SpotifyCares I got a new phone, iphone 8, and recently every snapchat notification I get pauses my spotify music. Can this be fixed?",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,playback_and_audio,DIRECT_TROUBLESHOOT,Hey! That's odd. Could you DM us your account's username or email address? We'll take a look backstage /LP https://t.co/ldFdZRiNAt /AY,5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-030,"@SpotifyCares I want to renew my student discount subscription, but when I put my credentials in the website cannot confirm that I am a student. Help please, I miss the low price and my Seinfeld",subscription_and_billing,ESCALATE_TO_HUMAN_DM,STUDENT_OR_FAMILY_VERIFICATION_MANUAL_CHECK,multi_intent,DIRECT_TROUBLESHOOT,"Hey Alan! We appreciate your feedback on this, and we'll be sure to let our devs know this is something you'd like to see. Let us know if we can help with anything else /AY",2,2,3,1,5,5,2.7,False,"Intent mismatch (True: subscription_and_billing, Pred: multi_intent). Action mismatch (True: ESCALATE_TO_HUMAN_DM, Pred: DIRECT_TROUBLESHOOT)."
SPOT-GOLD-031,I wish you could tell @115888 to always play the explicit version. #dontcensorme,music_catalog_and_content,INFO_PROVISION,N/A,music_catalog_and_content,INFO_PROVISION,Hi there! Spotify doesn't censor music – we make it available in whatever form it's delivered by the artists and labels. Check if explicit filtering is toggled under Settings > Playback: https://support.spotify.com/article/explicit-content/ /AY,5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-032,Excuse me @115888 why has my music started to stop every time I close the app?!,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,playback_and_audio,DIRECT_TROUBLESHOOT,"Hey! Can you try logging out and back in? If that doesn't work, try restarting your device. Let us know how you get on /AY",5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-033,@115888 i'm too broke for that bc then you have to pay the regular price when the 3 months is over. gonna become a stripper to get spotify premium,subscription_and_billing,INFO_PROVISION,N/A,subscription_and_billing,INFO_PROVISION,"Hey there! We just sent you a reply to your DM, we'll continue assisting you there /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-034,"Hi @SpotifyCares I DM'ed you, if you could please look into it, a track we've released is under the wrong artist, thank you",music_catalog_and_content,INFO_PROVISION,N/A,music_catalog_and_content,INFO_PROVISION,"Hi there! Music availability all boils down to licensing agreements with record labels and artists, which can vary by country. More info here: https://support.spotify.com/article/unplayable-songs/ /AY",5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-039,@115888 where is Yelawolf's new album at? &lt;/3,music_catalog_and_content,INFO_PROVISION,N/A,music_catalog_and_content,INFO_PROVISION,"Hey there, we're here to help! Could you let us know what country your Spotify account is set to? We'll take a look backstage /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-042,"Hey @115888 what did you do with your app? My neighbor is using their device to control my songs, even their playlist showed up on my acct!",playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,playlist_library_and_curation,DIRECT_TROUBLESHOOT,Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /AY,5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
