example_id,conversation_id,customer_message,conversation_context,intent,expected_action,escalation_reason,historical_resolution,review_status,annotation_notes
SPOT-GOLD-011,2344401,@SpotifyCares why is this even a thing? Translated to english it means i got a download limit... Why? https://t.co/35ABzgy9ko,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@677980 Hi Michaël! You can download up to 3,333 songs per device, on a maximum of 3 different devices. No worries. We'll pass your feedback onto the right team. Let us know if you have other questions /DV",PENDING_HUMAN_REVIEW,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-012,2915271,"@SpotifyCares If this was a custom response with the ""backstage"" because I talked about showtunes, you really broke a leg here 👏🙌","Prior Turn [SpotifyCares (2915269)]: @806973 Hey Brian! We had a little hiccup backstage, but it should be working now. We're here if you need us /LP",service_outage_and_status,INFO_PROVISION,N/A,"@806973 Haha, good one! https://t.co/m4HWSbgHVZ 🙂 /JS",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-013,1255455,@SpotifyCares I pay a monthly fee for this but now can't download any other music to listen to on the go. I'm paying to not be able to do something. (3),Prior Turn [SpotifyCares (1255451)]: @414370 2: We'll pass your feedback on to the right folks. We're here for you if there's anything else /YM,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@414370 3. offline tracks by removing the songs you rarely listen to at the moment and downloading the new ones /YM,PENDING_HUMAN_REVIEW,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-014,2766475,@SpotifyCares I've restarted it and.logged out it's still the same:(,Prior Turn [SpotifyCares (2766466)]: @773664 Got it. Could you also let us know the Android version you're running? We'll check it out /RC,account_access_and_login,INFO_PROVISION,N/A,@773664 Does the same thing happen when using a different device? /RC,PENDING_HUMAN_REVIEW,Candidate intent: account_access_and_login. Provide public password reset link or credential troubleshooting
SPOT-GOLD-015,2855915,About to get rid of @115888 . Sick of my music muting/freezing all the time😤😤😤😤😤😤,None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@793823 Hey Amber! We're sorry to hear that. Can you let us know the device, operating system, and Spotify version you’re using? /SJ",PENDING_HUMAN_REVIEW,"Candidate intent: app_crash_and_performance. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-016,1951054,@SpotifyCares just found out there's an Upside-Down version of my spotify... PLEASE NEVER GET RID OF IT MY INNER ST FANGIRL IS FREAKING OUT!,None (thread root),service_outage_and_status,INFO_PROVISION,N/A,"@579457 Hi, we're glad you like it! You can also match your Spotify listening to a Stranger Things character here: https://t.co/1tKmV87bVJ 😉 /TY",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-017,2004786,"@SpotifyCares I’ll DM you, I don’t want to offend people who love this wretched song 😒","Prior Turn [SpotifyCares (2004784)]: @592840 Hi Gabrielle! Can you let us know the device, OS, and Spotify version you're using? Also, what is the name of the song you upvoted? /MT",music_catalog_and_content,INFO_PROVISION,N/A,"@592840 It's all right, we understand. Just click the DM link we've attached here. We'll carry on chatting there /MT https://t.co/ldFdZRiNAt",PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-018,2851474,@SpotifyCares every time I try to sync the songs I have on my laptop to Spotify I ALWAYS have a problem when they won’t sync and show up on my iPhone app!,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@564087 Hey! Can you try the troubleshooting steps on the FAQ section of this link: https://t.co/SgMwFS1ONz? Let us know how it goes /SJ,PENDING_HUMAN_REVIEW,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-019,1909606,@SpotifyCares How y’all gon let me pay 10 a month and delete my fav song https://t.co/R97xuY7Ekn,Prior Turn [SpotifyCares (1909603)]: @568871 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /PL,music_catalog_and_content,INFO_PROVISION,N/A,@568871 Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /PL,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-020,77694,"@115888 Rp 4.990 using credit card? please i think most of spotify user are student and teenager. dear spotify id, please don't be like this",Prior Turn [Customer (77694)]: 3 bulan Premium hanya Rp 4.990. Putar musik offline di mana saja. https://t.co/OaXjQ0a5lO,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@480819 Hey there! Can you tell us what's happening exactly? We'll see what we can suggest /CH,PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-021,2920753,Why is my @115888 down? 🤷🏼‍♂️😩,None (thread root),service_outage_and_status,INFO_PROVISION,N/A,"@808365 Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now /CE",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-022,1429869,"@115888, long time premium customer here. Is multiroom coming soon for @115821 Echo/Alexa? Will be sad if I have to switch music providers",None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@452082 Hi there! We don't have any info to share about this right now, but you can vote for the idea here: https://t.co/248j19QkbF /PL",PENDING_HUMAN_REVIEW,"Candidate intent: subscription_and_billing. Explain subscription tier, family plan invite rules, or student discount criteria"
SPOT-GOLD-023,2461409,"Hey @SpotifyCares I wanted to play some music and while I was listening to my computer accidentally shut off during an ad, so I turn it back on and I load up the web player and it is frozen on the ad and I can't listen to my music. Every time I press play on a song, it won't work",None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,"@704737 Hey Chris, help's here! Can you let us know your device and the operating system you're using? We'll see what we can suggest /GK",PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-024,2653148,@115888 @SpotifyCares @15993   what is wrong with your system? Why do I keep losing my saved/downloaded music???? Happened 2x in the last 2 weeks. -_-,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@748226 Hey Lawrence, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /MG",PENDING_HUMAN_REVIEW,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-025,48593,"@115888 noticed on my desktop app that the release date is no longer showing, is this due to a random update?",None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,"@126825 Hey there, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MQ",PENDING_HUMAN_REVIEW,"Candidate intent: ambiguous_vague. Ask customer for device model, OS version, and exact error behavior before diagnosing"
SPOT-GOLD-026,1374800,"@SpotifyCares It was on Chrome, but it seems to be working fine now. I think there might have been a server hiccup.","Prior Turn [SpotifyCares (1374799)]: @221679 Hey there, that doesn't sound right! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",service_outage_and_status,INFO_PROVISION,N/A,"@221679 That's great to hear! For anything else, we're just a tweet away /JP",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-027,673961,@SpotifyCares Is the correct version of 'Guilty' (Track 7)  on this album? My CD copy has a version by Al Bowlly https://t.co/dxGqHqjdnx,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@280742 1: Hi Lincoln! Looks like the version included in the album is the remastered one. If you're looking for Al Bowlly's version of the...,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-028,2552610,"@SpotifyCares I got a new phone, iphone 8, and recently every snapchat notification I get pauses my spotify music. Can this be fixed?",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@725057 Hi there, help's here! Can you let us know what operating system and Spotify versions you're using? We'll take a look backstage /XF",PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-029,781156,"@SpotifyCares having technical issues. Won't let my daughter accept the premium for family invite. She gets an ""oops, something went wrong"". The fact that you do NOT offer telephone support is an absolute joke.",None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@306500 Hey Ed! We've just replied to your DM. Let's carry on chatting there /KM,PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-030,1698056,"@SpotifyCares I want to renew my student discount subscription, but when I put my credentials in the website cannot confirm that I am a student. Help please, I miss the low price and my Seinfeld",None (thread root),multi_intent,ESCALATE_TO_HUMAN_DM,COMPLEX_MULTI_ISSUE_ACCOUNT_AUDIT,@515033 Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: multi_intent. Multiple intertwined issues requiring private account inspection
SPOT-GOLD-031,508862,I wish you could tell @115888 to always play the explicit version. #dontcensorme,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@236877 Hey! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: https://t.co/UcNrrcTQH1 /JK,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-032,2614484,Excuse me @115888 why has my music started to stop every time I close the app?!,None (thread root),playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,"@739085 Hey! That's not cool, we'd love to help. Can you DM us your account's email address? Also, let us know which device you're using 🙂 /M https://t.co/ldFdZRiNAt",PENDING_HUMAN_REVIEW,Candidate intent: playback_and_audio. Standard client-side troubleshooting failed; agent requests account info for backend logs
SPOT-GOLD-033,115277,@115888 i'm too broke for that bc then you have to pay the regular price when the 3 months is over. gonna become a stripper to get spotify premium,Prior Turn [Customer (115277)]: 3 months of Premium is just $0.99. Play music offline wherever you go. https://t.co/n8yYNzA4sa,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@157534 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-034,569631,"Hi @SpotifyCares I DM'ed you, if you could please look into it, a track we've released is under the wrong artist, thank you",None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@253690 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-035,839942,"@SpotifyCares I am unable to ""share"" anything. The app crashes when I try",None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@319831 Hey Scott! What device, operating system, and Spotify version are you using? Are you getting any specific error messages? /KC",PENDING_HUMAN_REVIEW,"Candidate intent: app_crash_and_performance. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-036,1271338,@115888 @118134 can we access other playlists besides the one we were given?,"Prior Turn [Customer (1271338)]: From Steve's Morning Hair Grooves to Nancy's Slaylist, there's a @118134 playlist for everyone. Find yours: https://t.co/RICbed9Ttb https://t.co/YkMFsiLIc7",playlist_library_and_curation,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,@417644 Hey Mary! Can you DM us your account's email address? We'll see what we can suggest /GK https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: playlist_library_and_curation. Standard client-side troubleshooting failed; agent requests account info for backend logs
SPOT-GOLD-037,633978,Why doesn't @115888 have a 'shuffle from here' option?,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@270288 Hey, thanks for the feedback! We can definitely see how that’d be handy. Rest assured, your feedback will be passed on to the right folks. If you need anything else, just give us a shout and we'll come running 🏃 /LX",PENDING_HUMAN_REVIEW,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-038,320133,@SpotifyCares Sent you a DM! Thanks 😊,None (thread root),non_support_or_chatter,INFO_PROVISION,N/A,@192297 We've just sent you a bit more info over DM. We'll carry on helping out there /DR,PENDING_HUMAN_REVIEW,Candidate intent: non_support_or_chatter. Politely acknowledge feedback or thank customer
SPOT-GOLD-039,1340985,@115888 where is Yelawolf's new album at? &lt;/3,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@233810 Hey there! Music availability all boils down to licensing agreements. We have more info here: https://t.co/VMrgnGpB4G /LM,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-040,2917918,"@SpotifyCares Spotify was down last evening, don’t know how it is anymore as I slept through the night but I think it probably works by now😅","Prior Turn [SpotifyCares (2917916)]: @807658 Hey Jasmin! Anything we can help with? Just let us know, and we'll check it out /CE",service_outage_and_status,INFO_PROVISION,N/A,"@807658 Thanks for clearing that up. We had a little hiccup backstage, but it should be working now. We're here if you need us /CE",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-041,2913842,@SpotifyCares hey there i cant use search it does not work can you help? Im on ios 11.1.2 iphone 7plus and latest spotify,None (thread root),service_outage_and_status,INFO_PROVISION,N/A,"@805335 Hey Umut! We had a little hiccup backstage, but it should be working now. We're here if you need us 🙂 /GN",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-042,1480221,"Hey @115888 what did you do with your app? My neighbor is using their device to control my songs, even their playlist showed up on my acct!",None (thread root),playlist_library_and_curation,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,"@463717 Hi there, we're here to help. Can you DM us your account's email address? We'll check backstage /AC https://t.co/ldFdZRiNAt",PENDING_HUMAN_REVIEW,Candidate intent: playlist_library_and_curation. Standard client-side troubleshooting failed; agent requests account info for backend logs
SPOT-GOLD-043,2071597,@SpotifyCares does your student offer for both premium and hulu apply to high school students or only college students?,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@612672 2: up during the holidays, or before their term begins they are likely to be declined. More info here: https://t.co/AIh7W3MdR5 /FR",PENDING_HUMAN_REVIEW,"Candidate intent: subscription_and_billing. Explain subscription tier, family plan invite rules, or student discount criteria"
SPOT-GOLD-044,1854857,@SpotifyCares It also crashes when I lock my phone too! I have an LG x Power 2,Prior Turn [SpotifyCares (1854855)]: @554926 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,@554926 Sweet. Are you getting any specific error messages? A screenshot would come in handy /NS,PENDING_HUMAN_REVIEW,"Candidate intent: app_crash_and_performance. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-045,452073,".@115888 quit fucking around and drop the new glassjaw already, i'm in lizard squad i'll tango down u",None (thread root),service_outage_and_status,INFO_PROVISION,N/A,"@222225 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/1dgftcFtzc /RH",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-046,1988893,@115888 can u make all playlists play like this please https://t.co/3mmJYfHbVa,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@588651 Hey Bethany! Our Curation team's independent so there's no submission process. Check out https://t.co/6BMOmfiZvQ to help gain visibility /BG,PENDING_HUMAN_REVIEW,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-047,39742,"@SpotifyCares Checked, none of these apply - unless an *automatic* update deleted them and switched off the download option?",Prior Turn [SpotifyCares (39740)]: @124703 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /CP,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@124703 Hmm. An app update shouldn't do that. We suggest that you remove your offline devices and reinstall if it happens again /CP,PENDING_HUMAN_REVIEW,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-048,278118,@SpotifyCares Its on WiFi. It happens on all tracks. Sometimes it works fine for 2mins etc. Other apps work fine for sound.,"Prior Turn [SpotifyCares (278112)]: @182414 Is this happening over 3G/4G, WiFi, or both? Also, is this happening on all tracks or just some? /PL",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@182414 Did you notice when it started happening? If you can connect using 3G/4G to see if it does the same, that'd be great /PL",PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-049,2738281,@SpotifyCares is there a playlist for the ama's nominees?,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@133627 Hey there! We absolutely have an AMA playlist, you can check it out here: https://t.co/htt8PDLbwT. If you ever need anything else, just shout and we'll come running 🏃 /JX",PENDING_HUMAN_REVIEW,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-050,2307925,@115888 Please Launch in Trinidad and Tobago so I can stop using a VPN to Listen to my Fav music ;),None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@669471 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSXrr8k /NQ,PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-051,603597,"I want to hear my music everywhere in the house I have an echo.   When can we get @115821 multiroom playback with @115888 integration!? We live in the future now, this should already be an option.",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@263426 Hey, we hear you loud and clear, Paul! We can’t make any promises but we’ll pass your suggestion onto the right folks /PB",PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-052,1824580,@SpotifyCares hey I need help. I forgot the email I used to sign in I know the password is there anything you could do,None (thread root),account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,@547725 Hey Jerome! Can you send us every possible username or email address you might've used for Spotify via DM? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: account_access_and_login. Account verification / password recovery requires private email lookup
SPOT-GOLD-053,906927,Spotify needs to stop playing edited songs. Should be some flag to filter those out @spotifycares,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@234707 Hi Tyler, help's here. Can you give us more info on what's exactly happening? We'll take a look /AC",PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-054,23282,"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4","Prior Turn [SpotifyCares (23278)]: @121073 Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY",app_crash_and_performance,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,@121073 Got it. Could you send us your account's email address or username via DM? We'll take a closer look /AY https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: app_crash_and_performance. Standard client-side troubleshooting failed; agent requests account info for backend logs
SPOT-GOLD-055,1272605,@417891 @115888 my Spotify says that shit unavailable :( idk what to do,Prior Turn [Customer (1272603)]: @417890 @115888 Wait what I was just listening to frank,music_catalog_and_content,INFO_PROVISION,N/A,@417890 @417891 Can you give this a try: log out from Spotify &gt; restart your device &gt; log back in? Did that make a difference? /DR,PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
SPOT-GOLD-056,645130,"@SpotifyCares okkk, so you guys charged me last night but never made my account premium again. What gives?",None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,"@273125 Hey Shawn, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-057,1296904,@SpotifyCares I don't like it because it removes the one hand ability when swiping down.,"Prior Turn [SpotifyCares (1296902)]: @423123 Hey! Can you try toggling Behind the Lyrics on and off? Afterwards, try logging out then back in to the app. Does that help? /JS",service_outage_and_status,INFO_PROVISION,N/A,"@423123 We understand. It's currently not possible to completely remove the feature, but we appreciate the feedback. We'll pass on your thoughts /AP",PENDING_HUMAN_REVIEW,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service
SPOT-GOLD-058,374845,@115888 whatever updates you made to the app make my phone crash when I try to share a song on a Google Pixel.,None (thread root),multi_intent,DIRECT_TROUBLESHOOT,N/A,"@204884 Hey! We've received similar reports about this. Not to worry, our best tech folks are on the case. Hopefully we'll have a fix soon /SJ",PENDING_HUMAN_REVIEW,Candidate intent: multi_intent. Acknowledge primary symptom and offer initial isolation steps
SPOT-GOLD-059,2473699,"@SpotifyCares Trying to get Spotify premium account working w/ Amazon Echo and having a really bad time. Echo replies ""Your linked Spotify account is not premium."" I do have a premium account. Can you help me out?",None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@707294 Hi Zachary! Help's here. Can you DM us your account's username or email address? /MU https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-060,1989304,@115888 I can't login to my account on my computer! The link won't send me an email to update/change my password--nor in my spam folder,None (thread root),account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,@588719 Hey! That doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: account_access_and_login. Account verification / password recovery requires private email lookup
