example_id,conversation_id,customer_message,conversation_context,intent,expected_action,escalation_reason,historical_resolution,review_status,annotation_notes,proposed_intent,proposed_expected_action,proposed_escalation_reason,reviewed_by,reviewed_at,ai_proposed_intent,ai_proposed_expected_action,ai_proposed_escalation_reason,ai_confidence,ai_agrees_with_candidate
SPOT-GOLD-023,2461409,"Hey @SpotifyCares I wanted to play some music and while I was listening to my computer accidentally shut off during an ad, so I turn it back on and I load up the web player and it is frozen on the ad and I can't listen to my music. Every time I press play on a song, it won't work",None (thread root),app_crash_and_performance,INFO_PROVISION,N/A,"@704737 Hey Chris, help's here! Can you let us know your device and the operating system you're using? We'll see what we can suggest /GK",VERIFIED,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability",music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T14:34:57.908378,,,,,
SPOT-GOLD-024,2653148,@115888 @SpotifyCares @15993   what is wrong with your system? Why do I keep losing my saved/downloaded music???? Happened 2x in the last 2 weeks. -_-,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@748226 Hey Lawrence, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /MG",VERIFIED,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:34:58.700623,,,,,
SPOT-GOLD-025,48593,"@115888 noticed on my desktop app that the release date is no longer showing, is this due to a random update?",None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,"@126825 Hey there, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MQ",VERIFIED,"Candidate intent: ambiguous_vague. Ask customer for device model, OS version, and exact error behavior before diagnosing",ambiguous_vague,CLARIFICATION_PROMPT,N/A,human,2026-09-13T14:35:01.233542,,,,,
SPOT-GOLD-026,1374800,"@SpotifyCares It was on Chrome, but it seems to be working fine now. I think there might have been a server hiccup.","Prior Turn [SpotifyCares (1374799)]: @221679 Hey there, that doesn't sound right! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",non_support_or_chatter,INFO_PROVISION,N/A,"@221679 That's great to hear! For anything else, we're just a tweet away /JP",VERIFIED,Customer confirms issue is resolved/working now; polite closure.,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:58:03.123115,non_support_or_chatter,INFO_PROVISION,N/A,MEDIUM,False
SPOT-GOLD-027,673961,@SpotifyCares Is the correct version of 'Guilty' (Track 7)  on this album? My CD copy has a version by Al Bowlly https://t.co/dxGqHqjdnx,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@280742 1: Hi Lincoln! Looks like the version included in the album is the remastered one. If you're looking for Al Bowlly's version of the...,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:00.228054,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-028,2552610,"@SpotifyCares I got a new phone, iphone 8, and recently every snapchat notification I get pauses my spotify music. Can this be fixed?",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@725057 Hi there, help's here! Can you let us know what operating system and Spotify versions you're using? We'll take a look backstage /XF",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:01.820332,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-029,781156,"@SpotifyCares having technical issues. Won't let my daughter accept the premium for family invite. She gets an ""oops, something went wrong"". The fact that you do NOT offer telephone support is an absolute joke.",None (thread root),subscription_and_billing,INFO_PROVISION,N/A,@306500 Hey Ed! We've just replied to your DM. Let's carry on chatting there /KM,VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:03.288055,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-030,1698056,"@SpotifyCares I want to renew my student discount subscription, but when I put my credentials in the website cannot confirm that I am a student. Help please, I miss the low price and my Seinfeld",None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,STUDENT_OR_FAMILY_VERIFICATION_MANUAL_CHECK,@515033 Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,VERIFIED,Student discount or SheerID verification manual check.,multi_intent,ESCALATE_TO_HUMAN_DM,COMPLEX_MULTI_ISSUE_ACCOUNT_AUDIT,human,2026-09-13T15:58:03.458032,subscription_and_billing,ESCALATE_TO_HUMAN_DM,STUDENT_OR_FAMILY_VERIFICATION_MANUAL_CHECK,HIGH,False
SPOT-GOLD-031,508862,I wish you could tell @115888 to always play the explicit version. #dontcensorme,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@236877 Hey! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: https://t.co/UcNrrcTQH1 /JK,VERIFIED,"Catalog licensing, country availability, or explicit track filtering inquiry.",music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:03.467186,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-032,2614484,Excuse me @115888 why has my music started to stop every time I close the app?!,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@739085 Hey! That's not cool, we'd love to help. Can you DM us your account's email address? Also, let us know which device you're using 🙂 /M https://t.co/ldFdZRiNAt",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:05.424066,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-033,115277,@115888 i'm too broke for that bc then you have to pay the regular price when the 3 months is over. gonna become a stripper to get spotify premium,Prior Turn [Customer (115277)]: 3 months of Premium is just $0.99. Play music offline wherever you go. https://t.co/n8yYNzA4sa,subscription_and_billing,INFO_PROVISION,N/A,@157534 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:07.400638,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-034,569631,"Hi @SpotifyCares I DM'ed you, if you could please look into it, a track we've released is under the wrong artist, thank you",None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@253690 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:04.970507,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-035,839942,"@SpotifyCares I am unable to ""share"" anything. The app crashes when I try",None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@319831 Hey Scott! What device, operating system, and Spotify version are you using? Are you getting any specific error messages? /KC",VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:06.316075,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-036,1271338,@115888 @118134 can we access other playlists besides the one we were given?,"Prior Turn [Customer (1271338)]: From Steve's Morning Hair Grooves to Nancy's Slaylist, there's a @118134 playlist for everyone. Find yours: https://t.co/RICbed9Ttb https://t.co/YkMFsiLIc7",playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@417644 Hey Mary! Can you DM us your account's email address? We'll see what we can suggest /GK https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:08.204062,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-037,633978,Why doesn't @115888 have a 'shuffle from here' option?,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@270288 Hey, thanks for the feedback! We can definitely see how that’d be handy. Rest assured, your feedback will be passed on to the right folks. If you need anything else, just give us a shout and we'll come running 🏃 /LX",VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:07.541712,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-038,320133,@SpotifyCares Sent you a DM! Thanks 😊,None (thread root),non_support_or_chatter,INFO_PROVISION,N/A,@192297 We've just sent you a bit more info over DM. We'll carry on helping out there /DR,VERIFIED,AI recommendation based on diagnostic symptoms: non_support_or_chatter -> INFO_PROVISION.,non_support_or_chatter,INFO_PROVISION,N/A,human,2026-09-13T15:57:09.224435,non_support_or_chatter,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-039,1340985,@115888 where is Yelawolf's new album at? &lt;/3,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@233810 Hey there! Music availability all boils down to licensing agreements. We have more info here: https://t.co/VMrgnGpB4G /LM,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:11.098330,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-040,2917918,"@SpotifyCares Spotify was down last evening, don’t know how it is anymore as I slept through the night but I think it probably works by now😅","Prior Turn [SpotifyCares (2917916)]: @807658 Hey Jasmin! Anything we can help with? Just let us know, and we'll check it out /CE",service_outage_and_status,INFO_PROVISION,N/A,"@807658 Thanks for clearing that up. We had a little hiccup backstage, but it should be working now. We're here if you need us /CE",VERIFIED,AI recommendation based on diagnostic symptoms: service_outage_and_status -> INFO_PROVISION.,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:57:12.433869,service_outage_and_status,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-041,2913842,@SpotifyCares hey there i cant use search it does not work can you help? Im on ios 11.1.2 iphone 7plus and latest spotify,None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,"@805335 Hey Umut! We had a little hiccup backstage, but it should be working now. We're here if you need us 🙂 /GN",VERIFIED,AI recommendation based on diagnostic symptoms: ambiguous_vague -> CLARIFICATION_PROMPT.,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:58:09.086607,ambiguous_vague,CLARIFICATION_PROMPT,N/A,MEDIUM,False
SPOT-GOLD-042,1480221,"Hey @115888 what did you do with your app? My neighbor is using their device to control my songs, even their playlist showed up on my acct!",None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@463717 Hi there, we're here to help. Can you DM us your account's email address? We'll check backstage /AC https://t.co/ldFdZRiNAt",VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:09.639639,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-043,2071597,@SpotifyCares does your student offer for both premium and hulu apply to high school students or only college students?,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@612672 2: up during the holidays, or before their term begins they are likely to be declined. More info here: https://t.co/AIh7W3MdR5 /FR",VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,INFO_PROVISION,N/A,human,2026-09-13T15:57:13.683232,subscription_and_billing,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-044,1854857,@SpotifyCares It also crashes when I lock my phone too! I have an LG x Power 2,Prior Turn [SpotifyCares (1854855)]: @554926 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,@554926 Sweet. Are you getting any specific error messages? A screenshot would come in handy /NS,VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:15.045410,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-045,452073,".@115888 quit fucking around and drop the new glassjaw already, i'm in lizard squad i'll tango down u",None (thread root),multi_intent,DIRECT_TROUBLESHOOT,N/A,"@222225 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/1dgftcFtzc /RH",VERIFIED,"Multi-issue query spanning: service_outage_and_status, app_crash_and_performance.",service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:58:10.183173,multi_intent,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-046,1988893,@115888 can u make all playlists play like this please https://t.co/3mmJYfHbVa,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@588651 Hey Bethany! Our Curation team's independent so there's no submission process. Check out https://t.co/6BMOmfiZvQ to help gain visibility /BG,VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:28.062793,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-047,39742,"@SpotifyCares Checked, none of these apply - unless an *automatic* update deleted them and switched off the download option?",Prior Turn [SpotifyCares (39740)]: @124703 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /CP,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@124703 Hmm. An app update shouldn't do that. We suggest that you remove your offline devices and reinstall if it happens again /CP,VERIFIED,AI recommendation based on diagnostic symptoms: offline_listening_and_downloads -> DIRECT_TROUBLESHOOT.,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:34.408124,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,HIGH,True
